LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
-23.22799,-45.86699,2020,10,5,5.59
-23.22799,-45.86699,2020,10,6,5.61
-23.22799,-45.86699,2020,10,7,5.3
-23.22799,-45.86699,2020,10,8,2.87
-23.22799,-45.86699,2020,10,9,0.74
-23.22799,-45.86699,2020,10,10,5.69
-23.22799,-45.86699,2020,10,11,6.83
-23.22799,-45.86699,2020,10,12,7.04
-23.22799,-45.86699,2020,10,13,7.16
-23.22799,-45.86699,2020,10,14,6.02
-23.22799,-45.86699,2020,10,15,1.8
-23.22799,-45.86699,2020,10,16,0.97
-23.22799,-45.86699,2020,10,17,3.02
-23.22799,-45.86699,2020,10,18,6.02
-23.22799,-45.86699,2020,10,19,6.03
-23.22799,-45.86699,2020,10,20,5.58
-23.22799,-45.86699,2020,10,21,6.38
-23.22799,-45.86699,2020,10,22,6.72
-23.22799,-45.86699,2020,10,23,6.74
-23.22799,-45.86699,2020,10,24,1.78
-23.22799,-45.86699,2020,10,25,2.86
-23.22799,-45.86699,2020,10,26,6.39
-23.22799,-45.86699,2020,10,27,6.36
-23.22799,-45.86699,2020,10,28,7.67
-23.22799,-45.86699,2020,10,29,6.48
-23.22799,-45.86699,2020,10,30,1.58
-23.22799,-45.86699,2020,10,31,2.34
-23.22799,-45.86699,2020,11,1,3.08
-23.22799,-45.86699,2020,11,2,6.58
-23.22799,-45.86699,2020,11,3,4.04
-23.22799,-45.86699,2020,11,4,6.65
-23.22799,-45.86699,2020,11,5,4.61
-23.22799,-45.86699,2020,11,6,7.48
-23.22799,-45.86699,2020,11,7,6.51
-23.22799,-45.86699,2020,11,8,7.28
-23.22799,-45.86699,2020,11,9,5.47
-23.22799,-45.86699,2020,11,10,4
-23.22799,-45.86699,2020,11,11,6.73
-23.22799,-45.86699,2020,11,12,5.45
-23.22799,-45.86699,2020,11,13,4.34
-23.22799,-45.86699,2020,11,14,6.23
-23.22799,-45.86699,2020,11,15,8.01
-23.22799,-45.86699,2020,11,16,2.69
-23.22799,-45.86699,2020,11,17,3.36
-23.22799,-45.86699,2020,11,18,2.84
-23.22799,-45.86699,2020,11,19,2.09
-23.22799,-45.86699,2020,11,20,5
-23.22799,-45.86699,2020,11,21,-999
-23.22799,-45.86699,2020,11,22,-999
-23.22799,-45.86699,2020,11,23,-999
-23.22799,-45.86699,2020,11,24,-999
-23.22799,-45.86699,2020,11,25,-999
-23.22799,-45.86699,2020,11,26,-999
-23.22799,-45.86699,2020,11,27,-999
-23.22799,-45.86699,2020,11,28,-999
